Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10
2974;68;130000;1390;60;0;1;0;0;5;1
3000;102;80000;1390;60;0;1;0;0;3;1
6220;71;103542;1390;75;3;1;0;0;3;6
6380;68;99167;1390;75;0;1;0;0;3;5
6540;67;97709;1390;75;0;1;0;0;3;4
6790;59;86042;1390;75;0;1;0;0;3;3
6970;56;81667;1390;75;0;1;0;0;3;4
6970;62;90417;1390;75;0;1;0;0;3;5
7150;55;80209;1390;75;0;1;0;0;3;5
7340;47;68542;1390;75;0;1;0;0;3;5
7530;44;64167;1390;75;0;1;0;0;3;5
7610;50;72917;1390;75;12;1;0;0;3;4
7730;43;62709;1390;75;3;1;0;0;3;4
7810;35;51042;1390;75;12;1;0;0;3;5
8010;32;46667;1390;75;6;2;0;0;3;4
8060;47;68542;1390;75;12;1;0;0;5;3
8180;23;33542;1390;75;0;1;0;1;3;5
8220;31;45209;1390;75;0;1;0;1;3;5
8230;38;55417;1390;75;6;1;0;1;3;3
8260;44;64167;1390;75;0;1;0;1;5;5
8390;20;29167;1390;75;12;1;0;1;3;5
8480;43;62709;1390;75;6;1;0;1;5;5
8570;35;51042;1390;75;0;1;0;1;5;5
8610;19;27709;1390;75;6;1;0;1;3;4
8760;26;37917;1390;75;0;1;0;1;3;5
8790;32;46667;1390;75;6;1;0;1;5;5
8980;23;33542;1390;75;0;1;0;0;5;5
9020;31;45209;1390;75;0;1;0;0;5;4
9030;38;55417;1390;75;6;1;0;0;5;4
9170;14;20417;1390;75;0;1;0;0;3;5
9210;20;29167;1390;75;12;1;0;0;5;4
9440;19;27709;1390;75;0;1;0;0;5;6
9543;30;35000;1390;75;0;1;0;0;3;5
9610;26;37917;1390;75;0;1;0;0;5;6
10060;14;20417;1390;75;0;1;0;1;5;5
5400;66;97000;1400;60;0;1;0;1;3;3
8000;59;45000;1400;75;12;1;0;1;3;3
11400;25;20000;1400;75;0;1;0;1;3;5
6690;71;103542;1595;100;0;1;0;1;3;4
6840;68;99167;1595;100;6;1;0;1;3;4
7000;67;97709;1595;100;0;1;0;1;3;5
7310;59;86042;1595;100;3;2;0;1;3;5
7410;62;90417;1595;100;3;1;0;1;3;4
7480;56;81667;1595;100;0;1;0;1;3;5
7650;55;80209;1595;100;0;1;0;1;3;4
7900;47;68542;1595;100;0;1;0;1;3;5
8090;44;64167;1595;100;12;1;0;1;3;6
8100;50;72917;1595;100;0;2;0;1;3;6
8270;43;62709;1595;100;0;2;0;0;3;4
8410;35;51042;1595;100;6;1;0;0;3;5
8640;47;68542;1595;100;0;2;0;0;5;5
8760;38;55417;1595;100;6;1;0;0;3;5
8800;31;45209;1595;100;0;1;0;0;3;6
8840;44;64167;1595;100;6;2;0;0;5;6
9050;43;62709;1595;100;3;2;0;0;5;5
9190;35;51042;1595;100;0;1;0;0;5;6
9320;26;37917;1595;100;0;1;0;0;3;5
9410;32;46667;1595;100;0;1;0;0;5;5
9580;38;55417;1595;100;0;2;0;0;5;4
9620;31;45209;1595;100;0;1;0;0;5;4
9891;37;43000;1595;100;0;1;0;0;5;5
10190;26;37917;1595;100;0;1;0;0;5;5
8880;35;51042;1598;105;0;1;0;0;3;4
9110;32;46667;1598;105;0;1;0;0;3;4
9300;23;33542;1598;105;0;1;0;0;3;4
9340;31;62709;1598;105;0;1;0;0;3;6
